Year,Sex,Education level,COMPOSITE_BREAKDOWN,Value
2016,,Primary 4,Skill: Mathematics,22.0
2016,Male,Primary 4,Skill: Mathematics,22.0
2016,Female,Primary 4,Skill: Mathematics,22.0
2016,,Primary 4,Skill: Reading,37.2
2016,Male,Primary 4,Skill: Reading,35.0
2016,Female,Primary 4,Skill: Reading,40.0
2016,,Primary 6,Skill: Mathematics,24.9
2016,Male,Primary 6,Skill: Mathematics,27.0
2016,Female,Primary 6,Skill: Mathematics,23.0
2016,,Primary 6,Skill: Reading,38.0
2016,Male,Primary 6,Skill: Reading,37.0
2016,Female,Primary 6,Skill: Reading,39.0
