Year,REF_AREA,EDUCATION_LEV,Value
2019,10_o,ISCED11_02,1.0
2019,09_o,ISCED11_02,0.98
2019,02_o,ISCED11_02,1.04
2019,04_o,ISCED11_02,0.99
2019,06_o,ISCED11_02,0.98
2019,05_o,ISCED11_02,0.96
2019,03_o,ISCED11_02,1.04
2019,07_o,ISCED11_02,1.07
2019,08_o,ISCED11_02,1.02
2019,01_o,ISCED11_02,0.96
2019,,ISCED11_02,0.99
2019,10_o,ISCED11_1,1.01
2019,09_o,ISCED11_1,0.99
2019,02_o,ISCED11_1,1.03
2019,04_o,ISCED11_1,1.0
2019,06_o,ISCED11_1,1.0
2019,05_o,ISCED11_1,0.95
2019,03_o,ISCED11_1,1.05
2019,07_o,ISCED11_1,1.1
2019,08_o,ISCED11_1,1.02
2019,01_o,ISCED11_1,0.95
2019,,ISCED11_1,1.0
2019,10_o,ISCED11_2,1.01
2019,09_o,ISCED11_2,0.97
2019,02_o,ISCED11_2,1.06
2019,04_o,ISCED11_2,1.03
2019,06_o,ISCED11_2,1.0
2019,05_o,ISCED11_2,0.95
2019,03_o,ISCED11_2,1.19
2019,07_o,ISCED11_2,1.14
2019,08_o,ISCED11_2,1.03
2019,01_o,ISCED11_2,0.95
2019,,ISCED11_2,1.02
2019,10_o,ISCED11_3,0.94
2019,09_o,ISCED11_3,0.98
2019,02_o,ISCED11_3,0.97
2019,04_o,ISCED11_3,1.09
2019,06_o,ISCED11_3,0.74
2019,05_o,ISCED11_3,0.89
2019,03_o,ISCED11_3,1.04
2019,07_o,ISCED11_3,0.93
2019,08_o,ISCED11_3,1.0
2019,01_o,ISCED11_3,0.94
2019,,ISCED11_3,0.95
