Value,en,Disaggregation combinations using this value,Number of indicators
Early childhood education,Early childhood education,2,1
Junior High School (JHS),Junior High School (JHS),26,4
Pre-primary education,Pre-primary education,13,2
Primary 4,Primary 4,12,1
Primary 6,Primary 6,12,1
Primary education,Primary education,14,3
Senior High School (SHS),Senior High School (SHS),13,2
Senior High Technical School,Senior High Technical School,7,1
Vocational secondary education,Vocational secondary education,10,1
